,Normal 400 Rogue 10,Normal 300 Rogue 10,Normal 200 Rogue 10
4.22,56.00000000000001,,
4.23,49.77777777777778,,
4.24,52.22222222222223,,
4.25,51.33333333333333,,
4.26,54.44444444444444,,
4.27,51.33333333333333,,
4.28,48.0,,
4.29,34.44444444444444,,
4.3,47.55555555555556,,
4.31,57.111111111111114,,
4.32,48.66666666666667,,
4.33,55.333333333333336,,
4.34,62.66666666666667,,
4.35,61.55555555555555,,
4.36,59.111111111111114,,
4.37,56.888888888888886,,
4.38,61.111111111111114,,
4.39,53.11111111111111,,
4.4,52.44444444444445,,
4.41,61.111111111111114,,
4.42,56.44444444444444,,
4.43,51.33333333333333,,
4.44,58.22222222222222,,
4.45,62.22222222222222,,
4.46,55.55555555555556,,
4.47,45.55555555555556,,
4.48,43.333333333333336,,
4.49,50.0,,
4.5,52.44444444444445,,
4.51,55.333333333333336,,
4.52,51.33333333333333,,
4.53,58.22222222222222,,
4.54,56.00000000000001,,
4.55,52.666666666666664,,
4.56,46.0,,
4.57,54.0,,
4.58,55.333333333333336,,
4.59,49.77777777777778,,
4.6,43.333333333333336,,
4.61,43.55555555555555,,
4.62,41.333333333333336,,
4.63,45.55555555555556,,
4.64,42.44444444444444,,
4.65,46.666666666666664,,
4.66,46.88888888888889,,
4.67,56.44444444444444,,
4.68,63.11111111111111,,
4.69,57.333333333333336,,
4.7,56.888888888888886,,
4.71,55.55555555555556,,
4.72,57.99999999999999,,
4.73,48.888888888888886,,
4.74,45.55555555555556,,
4.75,51.77777777777778,,
4.76,55.111111111111114,,
4.77,57.55555555555556,,
4.78,65.55555555555556,,
4.79,55.77777777777778,,
4.8,55.77777777777778,,
4.81,65.33333333333333,,
4.82,54.0,,
4.83,60.66666666666667,,
4.84,56.222222222222214,,
4.85,49.55555555555556,,
4.86,44.22222222222222,,
4.87,48.888888888888886,,
4.88,52.888888888888886,,
4.89,44.22222222222222,,
4.9,39.111111111111114,,
4.91,44.888888888888886,,
4.92,46.44444444444444,,
4.93,60.44444444444444,,
4.94,59.55555555555555,,
4.95,53.333333333333336,,
4.96,53.77777777777778,,
4.97,42.44444444444444,,
4.98,53.333333333333336,,
4.99,58.22222222222222,,
5.0,55.111111111111114,,
5.01,54.666666666666664,,
5.02,51.33333333333333,,
5.03,50.888888888888886,,
5.04,41.11111111111111,,
5.05,37.111111111111114,,
5.06,36.888888888888886,,
5.07,42.66666666666667,,
5.08,50.22222222222222,,
5.09,48.888888888888886,,
5.1,43.55555555555555,,
5.11,42.0,,
5.12,53.333333333333336,,
5.13,57.77777777777777,,
5.14,53.333333333333336,,
5.15,54.44444444444444,,
5.16,49.333333333333336,,
5.17,46.44444444444444,,
5.18,49.333333333333336,,
5.19,55.77777777777778,,
5.2,49.333333333333336,,
5.21,56.00000000000001,,
5.22,48.44444444444444,,
5.23,43.111111111111114,,
5.24,50.44444444444445,,
5.25,48.66666666666667,,
5.26,52.888888888888886,,
5.27,57.55555555555556,,
5.28,61.55555555555555,,
5.29,50.22222222222222,,
5.3,53.333333333333336,,
5.31,55.55555555555556,,
5.32,57.111111111111114,,
5.33,59.55555555555555,,
5.34,50.44444444444445,,
5.35,49.55555555555556,,
5.36,38.88888888888889,,
5.37,40.666666666666664,,
5.38,46.0,,
5.39,38.22222222222222,,
5.4,41.55555555555556,,
5.41,52.888888888888886,,
5.42,53.333333333333336,,
5.43,44.22222222222222,,
5.44,42.44444444444444,,
5.45,48.0,,
5.46,40.0,,
5.47,50.888888888888886,,
5.48,50.66666666666667,,
5.49,47.55555555555556,,
5.5,54.666666666666664,,
5.51,50.0,,
5.52,42.66666666666667,,
5.53,36.888888888888886,,
5.54,47.55555555555556,,
5.55,44.888888888888886,,
5.56,46.44444444444444,,
5.57,39.77777777777778,,
5.58,48.888888888888886,,
5.59,51.55555555555556,,
5.6,56.666666666666664,,
5.61,45.111111111111114,,
5.62,44.44444444444444,,
5.63,39.77777777777778,,
5.64,39.33333333333333,,
5.65,43.111111111111114,,
5.66,53.55555555555556,,
5.67,43.333333333333336,,
5.68,44.44444444444444,,
5.69,46.88888888888889,,
5.7,53.333333333333336,,
